date,tic,open,high,low,close,volume,esg_score,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2019-06-26,HK_BOND,261.4,261.4,242.4,250.59999999999997,1000000000.0,0.0,16.059234575177243,266.6649279595491,160.36507204045088,71.20713106081159,134.70039919548333,71.87623252965324,194.40666666666667,192.5
2019-06-27,HK_BOND,250.3,250.3,240.49999999999997,240.49999999999997,1000000000.0,0.0,15.459575900101584,269.2736789408624,162.82632105913763,67.16552639624355,107.88755167101387,69.25784895077464,198.16,194.0
2019-06-27,HSCEI,10824.87,10914.03,10797.08,10897.13,2510000000.0,0.0,85.3813398409875,11020.093393304049,10152.48660669595,57.66790543739007,117.00164975795172,10.552052134033032,10571.839,10579.332580645161
2019-06-27,HSI,28352.94,28621.42,28287.34,28621.42,1730000000.0,0.0,251.75581605571278,28908.130168478096,26303.485831521906,59.28303485503481,129.15199780151144,11.899562261374776,27600.805,27622.350322580645
2019-06-27,HSIESG,3427.87,3458.79,3421.16,3458.79,0.0,1.0,28.798758617731437,3496.4107023529655,3191.5972976470343,58.6876378133081,128.22567612555434,11.712469432121733,3343.682333333333,3346.031612903226
2019-06-27,HSTECH,3832.35,3832.35,3832.35,3832.35,0.0,0.0,20.24099754321469,3870.1829869857365,3531.596013014264,50.638353369771934,121.84191275302318,1.2767067395438825,3708.7656666666667,3718.345806451613
2019-06-28,HK_BOND,235.8,235.8,206.8,206.8,1000000000.0,0.0,12.316754738644676,268.93912122912826,164.77087877087178,56.16257621451177,40.68117313150438,32.28202672740309,200.87333333333333,194.3878787878788
2019-06-28,HSCEI,10912.43,10912.43,10831.85,10881.85,2049999999.9999998,0.0,89.56562880127058,11055.88293721904,10159.873062780962,57.06910587852227,116.72162863831655,10.55205213403304,10574.179999999998,10588.78625
2019-06-28,HSI,28632.59,28632.59,28416.96,28542.62,1530000000.0,0.0,266.69816100110256,29022.040030532284,26332.349969467716,58.116352561032414,127.65321941576399,12.161902047281684,27609.72333333333,27651.10875
2019-06-28,HSIESG,3460.11,3460.11,3433.72,3447.09,0.0,1.0,30.16995768851666,3508.5729305808923,3195.433069419107,57.28301296423825,124.68344333008098,11.974520861833309,3344.6730000000002,3349.1896875
