date,tic,open,high,low,close,volume,esg_score,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2025-01-01,HK_BOND,402.7,405.40000000000003,400.1,400.1,1000000000.0,0.0,2.202899373676644,413.7863412857189,395.53365871428116,51.666068357635275,4.621410657423473,9.15638021617919,401.37,394.2566666666666
2025-01-01,HSCEI,7266.62,7336.59,7266.62,7289.89,1680000000.0,0.0,38.09771401758371,7412.174485877196,6976.644514122803,53.811219217986505,96.11740450308012,18.466484517727142,7121.755,7264.6376666666665
2025-01-01,HSI,20003.36,20180.4,20003.36,20059.95,1720000000.0,0.0,37.76987064040077,20446.816708194514,19425.288291805482,52.340774414986434,76.71194514691716,13.440022589921135,19773.377,20208.528833333334
2025-01-01,HSIESG,2401.83,2422.22,2401.83,2409.05,1720000000.0,1.0,3.5661204884863764,2451.185253412601,2336.336746587399,52.06012179118802,78.75346144565518,11.156129649822253,2375.4303333333332,2428.0745
2025-01-01,HSTECH,4484.54,4507.55,4468.11,4468.11,538670000.0,0.0,15.892025327874762,4629.22511866818,4326.04288133182,52.272645542861696,43.1894943201016,15.180325266424108,4426.657333333334,4510.8460000000005
2025-01-02,HK_BOND,400.0,400.0,397.3,398.0,1000000000.0,0.0,1.5569281627051623,413.87834819209706,394.701651807903,50.846349017860845,-37.522905214059506,6.548058727520623,401.26000000000005,394.38
2025-01-02,HSCEI,7226.7,7226.7,7066.52,7090.56,3910000000.0,0.0,24.217870414444405,7404.370470721209,6992.599529278788,49.69281971272359,0.9719361644089208,7.876551832393623,7122.870333333333,7246.872
2025-01-02,HSI,19932.8,19932.8,19542.98,19623.32,4030000000.0000005,0.0,8.071051469818485,20439.788751527645,19439.619248472358,48.79087004620608,-21.381074484413606,4.210959381536691,19774.933999999997,20156.636333333332
2025-01-02,HSIESG,2396.33,2396.33,2352.51,2360.73,4030000000.0000005,1.0,0.44976010218169904,2450.2482764513857,2338.2877235486144,48.48271831958364,-15.685333905652344,2.4709545528515124,2375.724,2422.0805000000005
2025-01-02,HSTECH,4436.74,4447.02,4347.09,4357.53,1250000000.0,0.0,5.097690025358133,4633.042701441032,4317.38329855897,49.45033402074958,-40.25795564310268,7.458221768578033,4427.190666666666,4496.352666666667
